number;village;easting;northing
TAE;Aadorf/Tänikon;710514;259821
COM;Acquarossa/Comprovasco;714998;146440
ABO;Adelboden;609400;148975
AIG;Aigle;560400;130713
ALT;Altdorf;690174;193558
AND;Andeer;752687;164035
BAS;Basel/Binningen;610911;265600
BER;Bern/Zollikofen;601929;204409
BEZ;Beznau;659808;267693
BIE;Bière;515888;153206
BUS;Buchs/Aarau;648389;248365
FRE;Bullet/LaFrétaz;534221;188081
CHA;Chasseral;570842;220154
CHU;Chur;759471;193157
CIM;Cimetta;704433;117452
GSB;ColduGrandSt-Bernard;579200;79720
DAV;Davos;783514;187457
DIS;Disentis/Sedrun;708188;173789
ENG;Engelberg;674156;186097
EVO;Evolène/Villa;605415;106740
FAH;Fahy;562458;252676
GVE;Genève-Cointrin;498903;122624
GLA;Glarus;723752;210567
GRH;GrimselHospiz;668583;158215
GOE;Gösgen;640417;245937
GUE;GütschobAndermatt;690140;167590
GUT;Güttingen;738419;273960
HOE;Hörnli;713515;247755
INT;Interlaken;633019;169093
JUN;Jungfraujoch;641930;155275
CDF;LaChaux-de-Fonds;550923;214893
DOL;LaDôle;497061;142362
MLS;LeMoléson;567723;155072
LEI;Leibstadt;656378;272111
OTL;Locarno/Monti;704160;114350
LUG;Lugano;717873;95884
LUZ;Luzern;665540;209848
LAE;Lägern;672250;259460
MAG;Magadino/Cadenazzo;715475;113162
MVE;Montana;601706;127482
MRP;MonteRosa-Plattje;629149;89520
MOE;Möhlin;633050;269142
MUB;Mühleberg;587788;202478
NAP;Napf;638132;206078
NEU;Neuchâtel;563150;205600
CGI;Nyon/Changins;506880;139573
PAY;Payerne;562127;184612
PIL;Pilatus;661910;203410
PIO;Piotta;695888;152261
COV;PizCorvatsch;783146;143519
PLF;Plaffeien;586808;177400
ROB;Poschiavo/Robbia;801850;136180
PUY;Pully;540811;151514
ROE;Robièi;682587;144091
RUE;Rünenberg;633246;253845
SBE;S.Bernardino;734112;147296
SAM;Samedan;787210;155700
SHA;Schaffhausen;688698;282796
SCU;Scuol;817135;186393
SIO;Sion;591630;118575
STG;St.Gallen;747861;254586
SBO;Stabio;716034;77964
SAE;Säntis;744200;234920
ULR;Ulrichen;666740;150760
VAD;Vaduz;757718;221696
VIS;Visp;631149;128020
WFJ;Weissfluhjoch;780615;189635
WYN;Wynau;626400;233850
WAE;Wädenswil;693849;230708
ZER;Zermatt;624350;97566
REH;Zürich/Affoltern;681428;253545
SMA;Zürich/Fluntern;685117;248061
KLO;Zürich/Kloten;682706;259337
EBK;Ebnat-Kappel;726348;237167
BIZ;Bischofszell;735325;262285
SPF;Schüpfheim;643677;199706
GIH;Giswil;657320;188980
EGO;Egolzwil;642910;225537
BUF;Buffalora;816494;170225
CRM;Cressier;571160;210800
NAS;Naluns/Schlivera;815374;188987
HAI;Salen-Reutenen;719102;279042
GRE;Grenchen;598216;225348
CMA;CrapMasegn;732820;189380
ELM;Elm;732265;198425
GRA;Fribourg/Posieux;575182;180076
LAG;Langnaui.E.;628005;198792
HLL;Hallau;677456;283472
MER;Meiringen;655843;175920
VAB;Valbella;761637;180380
PMA;PizMartegnas;760267;160583
SMM;Sta.Maria,ValMüstair;828858;165569
KOP;Koppigen;612662;218664
ORO;Oron;555502;158048
RAG;BadRagaz;756907;209340
CHD;Château-d'Oex;577041;147644
EIN;Einsiedeln;699981;221058
EGH;Eggishorn;650279;141897
BOU;Bouveret;555264;138175
DEM;Delémont;593269;244543
MOA;Mosen;660124;232846
ATT;LesAttelas;586862;105305
GEN;MonteGeneroso;722503;87456
GOR;Gornergrat;626900;92512
GRO;Grono;733014;124080
BOL;Boltigen;595828;163588
TIT;Titlis;675400;180400
THU;Thun;611202;177630
